0.001	 0.001	 0.000502	 0.000502
0.002	 0.001	 0.000452	 0.000954
0.003	 0.001	 0.000445	 0.001399
0.004	 0.001	 0.000445	 0.001844
0.005	 0.001	 0.000444	 0.002288
0.006	 0.001	 0.000445	 0.002733
0.007	 0.001	 0.000446	 0.003179
0.008	 0.001	 0.000376	 0.003555
0.009	 0.001	 0.00035	 0.003905
0.01	 0.001	 0.00035	 0.004255
0.011	 0.001	 0.000349	 0.004604
0.012	 0.001	 0.000349	 0.004953
0.013	 0.001	 0.000348	 0.005301
0.014	 0.001	 0.000348	 0.005649
0.015	 0.001	 0.000465	 0.006114
0.016	 0.001	 0.000465	 0.006579
0.017	 0.001	 0.000464	 0.007043
0.018	 0.001	 0.000466	 0.007509
0.019	 0.001	 0.000464	 0.007973
0.02	 0.001	 0.000464	 0.008437
0.021	 0.001	 0.000466	 0.008903
0.022	 0.001	 0.000465	 0.009368
0.023	 0.001	 0.000469	 0.009837
0.024	 0.001	 0.000465	 0.010302
0.025	 0.001	 0.000464	 0.010766
0.026	 0.001	 0.000465	 0.011231
0.027	 0.001	 0.000384	 0.011615
0.028	 0.001	 0.000387	 0.012002
0.029	 0.001	 0.000384	 0.012386
0.03	 0.001	 0.000478	 0.012864
0.031	 0.001	 0.000481	 0.013345
0.032	 0.001	 0.00048	 0.013825
0.033	 0.001	 0.000479	 0.014304
0.034	 0.001	 0.000481	 0.014785
0.035	 0.001	 0.000479	 0.015264
0.036	 0.001	 0.000478	 0.015742
0.037	 0.001	 0.000481	 0.016223
0.038	 0.001	 0.000479	 0.016702
0.039	 0.001	 0.000478	 0.01718
0.04	 0.001	 0.000476	 0.017656
0.041	 0.001	 0.000476	 0.018132
0.042	 0.001	 0.000477	 0.018609
0.043	 0.001	 0.000382	 0.018991
0.044	 0.001	 0.000381	 0.019372
0.045	 0.001	 0.000355	 0.019727
0.046	 0.001	 0.000325	 0.020052
0.047	 0.001	 0.000329	 0.020381
0.048	 0.001	 0.000326	 0.020707
0.049	 0.001	 0.000326	 0.021033
0.05	 0.001	 0.000329	 0.021362
0.051	 0.001	 0.000325	 0.021687
0.052	 0.001	 0.000325	 0.022012
0.053	 0.001	 0.000325	 0.022337
0.054	 0.001	 0.000324	 0.022661
0.055	 0.001	 0.000324	 0.022985
0.056	 0.001	 0.000326	 0.023311
0.057	 0.001	 0.000324	 0.023635
0.058	 0.001	 0.000323	 0.023958
0.059	 0.001	 0.000324	 0.024282
0.06	 0.001	 0.000323	 0.024605
0.061	 0.001	 0.000325	 0.02493
0.062	 0.001	 0.000325	 0.025255
0.063	 0.001	 0.000324	 0.025579
0.064	 0.001	 0.000325	 0.025904
0.065	 0.001	 0.000323	 0.026227
0.066	 0.001	 0.000323	 0.02655
0.067	 0.001	 0.000324	 0.026874
0.068	 0.001	 0.000325	 0.027199
0.069	 0.001	 0.000324	 0.027523
0.07	 0.001	 0.000281	 0.027804
0.071	 0.001	 0.000281	 0.028085
0.072	 0.001	 0.00028	 0.028365
0.073	 0.001	 0.000286	 0.028651
0.074	 0.001	 0.000282	 0.028933
0.075	 0.001	 0.000282	 0.029215
0.076	 0.001	 0.000282	 0.029497
0.077	 0.001	 0.000284	 0.029781
0.078	 0.001	 0.000283	 0.030064
0.079	 0.001	 0.000283	 0.030347
0.08	 0.001	 0.000287	 0.030634
0.081	 0.001	 0.000284	 0.030918
0.082	 0.001	 0.000283	 0.031201
0.083	 0.001	 0.000282	 0.031483
0.084	 0.001	 0.000282	 0.031765
0.085	 0.001	 0.000284	 0.032049
0.086	 0.001	 0.000283	 0.032332
0.087	 0.001	 0.000282	 0.032614
0.088	 0.001	 0.000284	 0.032898
0.089	 0.001	 0.000288	 0.033186
0.09	 0.001	 0.000283	 0.033469
0.091	 0.001	 0.000283	 0.033752
0.092	 0.001	 0.000284	 0.034036
0.093	 0.001	 0.000283	 0.034319
0.094	 0.001	 0.000282	 0.034601
0.095	 0.001	 0.000284	 0.034885
0.096	 0.001	 0.000284	 0.035169
0.097	 0.001	 0.000283	 0.035452
0.098	 0.001	 0.000317	 0.035769
0.099	 0.001	 0.000284	 0.036053
0.1	 0.001	 0.000283	 0.036336
0.101	 0.001	 0.000285	 0.036621
0.102	 0.001	 0.000283	 0.036904
0.103	 0.001	 0.0003	 0.037204
0.104	 0.001	 0.00025	 0.037454
0.105	 0.001	 0.000312	 0.037766
0.106	 0.001	 0.000312	 0.038078
0.107	 0.001	 0.000249	 0.038327
0.108	 0.001	 0.000251	 0.038578
0.109	 0.001	 0.00025	 0.038828
0.11	 0.001	 0.00025	 0.039078
0.111	 0.001	 0.00025	 0.039328
0.112	 0.001	 0.00025	 0.039578
0.113	 0.001	 0.000251	 0.039829
0.114	 0.001	 0.000249	 0.040078
0.115	 0.001	 0.00025	 0.040328
0.116	 0.001	 0.00025	 0.040578
0.117	 0.001	 0.000249	 0.040827
0.118	 0.001	 0.00025	 0.041077
0.119	 0.001	 0.000251	 0.041328
0.12	 0.001	 0.000251	 0.041579
0.121	 0.001	 0.00025	 0.041829
0.122	 0.001	 0.00025	 0.042079
0.123	 0.001	 0.00025	 0.042329
0.124	 0.001	 0.000251	 0.04258
0.125	 0.001	 0.00025	 0.04283
0.126	 0.001	 0.000259	 0.043089
0.127	 0.001	 0.000252	 0.043341
0.128	 0.001	 0.000248	 0.043589
0.129	 0.001	 0.000224	 0.043813
0.13	 0.001	 0.000225	 0.044038
0.131	 0.001	 0.000224	 0.044262
0.132	 0.001	 0.000224	 0.044486
0.133	 0.001	 0.000226	 0.044712
