0	 0.001	 1	 0.45014	 50	 0.454499
0	 0.001	 1	 0.45014	 50	 0.454499
0.001	 0.001	 1	 0.450037	 51	 0.454591
0.002	 0.001	 1	 0.449737	 51	 0.454678
0.003	 0.001	 1	 0.449358	 51	 0.45475
0.004	 0.001	 1	 0.448901	 51	 0.454799
0.005	 0.001	 1	 0.448355	 51	 0.454815
0.006	 0.001	 1	 0.447701	 51	 0.454786
0.007	 0.001	 1	 0.446915	 29	 0.45507
0.008	 0.001	 1	 0.445968	 28	 0.455585
0.009	 0.001	 1	 0.444822	 27	 0.456273
0.01	 0.001	 1	 0.44343	 26	 0.457167
0.011	 0.001	 1	 0.441732	 26	 0.458328
0.012	 0.001	 1	 0.439655	 26	 0.45981
0.013	 0.001	 1	 0.437108	 76	 0.461726
0.014	 0.001	 1	 0.433977	 76	 0.464175
0.015	 0.001	 1	 0.430124	 25	 0.4673
0.016	 0.001	 1	 0.425382	 25	 0.471285
0.017	 0.001	 1	 0.419554	 25	 0.476362
0.018	 0.001	 1	 0.412413	 76	 0.482818
0.019	 0.001	 1	 0.403718	 76	 0.491008
0.02	 0.001	 1	 0.393238	 76	 0.501344
0.021	 0.001	 1	 0.38081	 76	 0.514281
0.022	 0.001	 1	 0.366423	 76	 0.530265
0.023	 0.001	 1	 0.350339	 26	 0.549702
0.024	 0.001	 1	 0.333189	 26	 0.572886
0.025	 0.001	 1	 0.315987	 26	 0.599443
0.026	 0.001	 1	 0.299965	 75	 0.628707
0.027	 0.001	 98	 0.286011	 75	 0.659621
0.028	 0.001	 96	 0.270415	 75	 0.69087
0.029	 0.001	 47	 0.251952	 75	 0.721317
0.03	 0.001	 56	 0.232181	 75	 0.750142
0.031	 0.001	 93	 0.211029	 75	 0.776888
0.032	 0.001	 92	 0.188514	 75	 0.801404
0.033	 0.001	 10	 0.166872	 75	 0.823716
0.034	 0.001	 91	 0.144213	 27	 0.844071
0.035	 0.001	 91	 0.123585	 27	 0.862805
0.036	 0.001	 11	 0.104621	 27	 0.879634
0.037	 0.001	 90	 0.0880053	 27	 0.894531
0.038	 0.001	 90	 0.0747693	 27	 0.907527
0.039	 0.001	 12	 0.0646722	 27	 0.918742
0.04	 0.001	 12	 0.0560342	 27	 0.928356
0.041	 0.001	 89	 0.0493208	 27	 0.936571
0.042	 0.001	 89	 0.0442433	 74	 0.943667
0.043	 0.001	 13	 0.0397533	 74	 0.949732
0.044	 0.001	 13	 0.0357072	 74	 0.954888
0.045	 0.001	 60	 0.0323379	 74	 0.959279
0.046	 0.001	 41	 0.0287678	 74	 0.963028
0.047	 0.001	 41	 0.0255819	 74	 0.966243
0.048	 0.001	 41	 0.0230497	 74	 0.96901
0.049	 0.001	 41	 0.021032	 74	 0.971402
0.05	 0.001	 41	 0.0194171	 74	 0.97348
0.051	 0.001	 41	 0.0181174	 27	 0.975295
0.052	 0.001	 61	 0.016629	 27	 0.976962
0.053	 0.001	 61	 0.0147823	 27	 0.978445
0.054	 0.001	 61	 0.0132096	 27	 0.979772
0.055	 0.001	 61	 0.0118685	 27	 0.980963
0.056	 0.001	 61	 0.0107237	 27	 0.982037
0.057	 0.001	 61	 0.00974531	 27	 0.983008
0.058	 0.001	 61	 0.00890859	 27	 0.983891
0.059	 0.001	 61	 0.0081927	 27	 0.984694
0.06	 0.001	 61	 0.00758021	 27	 0.985428
0.061	 0.001	 61	 0.0070565	 27	 0.9861
0.062	 0.001	 61	 0.00660929	 27	 0.986717
0.063	 0.001	 40	 0.00592492	 27	 0.987286
0.064	 0.001	 40	 0.00517365	 27	 0.987811
0.065	 0.001	 40	 0.00449945	 27	 0.988298
0.066	 0.001	 40	 0.00389469	 27	 0.988749
0.067	 0.001	 40	 0.00335246	 27	 0.98917
0.068	 0.001	 40	 0.0028665	 27	 0.989562
0.069	 0.001	 40	 0.00243115	 27	 0.98993
0.07	 0.001	 40	 0.00204127	 27	 0.990275
0.071	 0.001	 40	 0.00169223	 27	 0.990599
0.072	 0.001	 40	 0.00137984	 27	 0.990905
0.073	 0.001	 40	 0.00110032	 27	 0.991194
0.074	 0.001	 40	 0.00085028	 27	 0.991467
0.075	 0.001	 40	 0.000626654	 27	 0.991727
